day,replicate,treatment,pile,value,no.choice.larvae
Day7,1,Any,M1,27,1
Day7,1,Any,M2,21,0
Day7,1,Any,B1,0,0
Day7,1,Any,B2,1,0
Day7,2,Any,M1,17,0
Day7,2,Any,M2,33,0
Day7,2,Any,B1,0,0
Day7,2,Any,B2,0,0
Day7,3,Any,M1,15,0
Day7,3,Any,M2,32,0
Day7,3,Any,B1,0,0
Day7,3,Any,B2,3,0
Day7,4,Any,M1,23,0
Day7,4,Any,M2,27,0
Day7,4,Any,B1,0,0
Day7,4,Any,B2,0,0
Day7,5,Any,M1,28,0
Day7,5,Any,M2,20,0
Day7,5,Any,B1,1,0
Day7,5,Any,B2,1,0
Day7,6,Any,M1,25,0
Day7,6,Any,M2,24,0
Day7,6,Any,B1,1,0
Day7,6,Any,B2,0,0
Day7,7,Any,M1,18,0
Day7,7,Any,M2,31,0
Day7,7,Any,B1,1,0
Day7,7,Any,B2,0,0
Day7,8,Any,M1,26,0
Day7,8,Any,M2,24,0
Day7,8,Any,B1,0,0
Day7,8,Any,B2,0,0
Day7,9,Any,M1,35,0
Day7,9,Any,M2,15,0
Day7,9,Any,B1,0,0
Day7,9,Any,B2,0,0
Day7,10,Any,M1,35,2
Day7,10,Any,M2,13,0
Day7,10,Any,B1,0,0
Day7,10,Any,B2,0,0
Day9,1,Mass_rearing_diet,M1,21,0
Day9,1,Mass_rearing_diet,M2,20,0
Day9,1,Mass_rearing_diet,B1,9,0
Day9,1,Mass_rearing_diet,B2,0,0
Day9,2,Mass_rearing_diet,M1,23,2
Day9,2,Mass_rearing_diet,M2,19,0
Day9,2,Mass_rearing_diet,B1,6,0
Day9,2,Mass_rearing_diet,B2,0,0
Day9,3,Mass_rearing_diet,M1,16,0
Day9,3,Mass_rearing_diet,M2,21,0
Day9,3,Mass_rearing_diet,B1,7,0
Day9,3,Mass_rearing_diet,B2,6,0
Day9,4,Mass_rearing_diet,M1,27,0
Day9,4,Mass_rearing_diet,M2,9,0
Day9,4,Mass_rearing_diet,B1,11,0
Day9,4,Mass_rearing_diet,B2,3,0
Day9,5,Mass_rearing_diet,M1,16,0
Day9,5,Mass_rearing_diet,M2,27,0
Day9,5,Mass_rearing_diet,B1,2,0
Day9,5,Mass_rearing_diet,B2,5,0
Day9,6,Mass_rearing_diet,M1,17,0
Day9,6,Mass_rearing_diet,M2,22,0
Day9,6,Mass_rearing_diet,B1,5,0
Day9,6,Mass_rearing_diet,B2,6,0
Day9,7,Mass_rearing_diet,M1,17,0
Day9,7,Mass_rearing_diet,M2,1,0
Day9,7,Mass_rearing_diet,B1,26,0
Day9,7,Mass_rearing_diet,B2,6,0
Day9,8,Mass_rearing_diet,M1,29,1
Day9,8,Mass_rearing_diet,M2,16,0
Day9,8,Mass_rearing_diet,B1,3,0
Day9,8,Mass_rearing_diet,B2,1,0
Day9,9,Mass_rearing_diet,M1,12,0
Day9,9,Mass_rearing_diet,M2,21,0
Day9,9,Mass_rearing_diet,B1,7,0
Day9,9,Mass_rearing_diet,B2,10,0
Day9,10,Mass_rearing_diet,M1,16,0
Day9,10,Mass_rearing_diet,M2,16,0
Day9,10,Mass_rearing_diet,B1,5,0
Day9,10,Mass_rearing_diet,B2,13,0
Day9,1,Manure,M1,8,1
Day9,1,Manure,M2,27,0
Day9,1,Manure,B1,12,0
Day9,1,Manure,B2,2,0
Day9,2,Manure,M1,7,0
Day9,2,Manure,M2,23,0
Day9,2,Manure,B1,9,0
Day9,2,Manure,B2,11,0
Day9,3,Manure,M1,30,1
Day9,3,Manure,M2,10,0
Day9,3,Manure,B1,3,0
Day9,3,Manure,B2,6,0
Day9,4,Manure,M1,15,3
Day9,4,Manure,M2,27,0
Day9,4,Manure,B1,0,0
Day9,4,Manure,B2,5,0
Day9,5,Manure,M1,34,0
Day9,5,Manure,M2,2,0
Day9,5,Manure,B1,14,0
Day9,5,Manure,B2,0,0
Day9,6,Manure,M1,20,0
Day9,6,Manure,M2,18,0
Day9,6,Manure,B1,9,0
Day9,6,Manure,B2,3,0
Day9,7,Manure,M1,23,0
Day9,7,Manure,M2,20,0
Day9,7,Manure,B1,4,0
Day9,7,Manure,B2,3,0
Day9,8,Manure,M1,15,0
Day9,8,Manure,M2,16,0
Day9,8,Manure,B1,11,0
Day9,8,Manure,B2,8,0
Day9,9,Manure,M1,31,1
Day9,9,Manure,M2,15,0
Day9,9,Manure,B1,2,0
Day9,9,Manure,B2,1,0
Day9,10,Manure,M1,27,0
Day9,10,Manure,M2,18,0
Day9,10,Manure,B1,4,0
Day9,10,Manure,B2,1,0
Day12,1,Mass_rearing_diet,M1,10,0
Day12,1,Mass_rearing_diet,M2,30,0
Day12,1,Mass_rearing_diet,B1,3,0
Day12,1,Mass_rearing_diet,B2,7,0
Day12,2,Mass_rearing_diet,M1,28,1
Day12,2,Mass_rearing_diet,M2,12,0
Day12,2,Mass_rearing_diet,B1,4,0
Day12,2,Mass_rearing_diet,B2,5,0
Day12,3,Mass_rearing_diet,M1,36,0
Day12,3,Mass_rearing_diet,M2,5,0
Day12,3,Mass_rearing_diet,B1,3,0
Day12,3,Mass_rearing_diet,B2,6,0
Day12,4,Mass_rearing_diet,M1,27,0
Day12,4,Mass_rearing_diet,M2,14,0
Day12,4,Mass_rearing_diet,B1,4,0
Day12,4,Mass_rearing_diet,B2,5,0
Day12,5,Mass_rearing_diet,M1,21,1
Day12,5,Mass_rearing_diet,M2,15,0
Day12,5,Mass_rearing_diet,B1,7,0
Day12,5,Mass_rearing_diet,B2,6,0
Day12,6,Mass_rearing_diet,M1,32,0
Day12,6,Mass_rearing_diet,M2,7,0
Day12,6,Mass_rearing_diet,B1,2,0
Day12,6,Mass_rearing_diet,B2,9,0
Day12,7,Mass_rearing_diet,M1,14,1
Day12,7,Mass_rearing_diet,M2,21,0
Day12,7,Mass_rearing_diet,B1,2,0
Day12,7,Mass_rearing_diet,B2,12,0
Day12,8,Mass_rearing_diet,M1,20,1
Day12,8,Mass_rearing_diet,M2,16,0
Day12,8,Mass_rearing_diet,B1,7,0
Day12,8,Mass_rearing_diet,B2,6,0
Day12,9,Mass_rearing_diet,M1,24,0
Day12,9,Mass_rearing_diet,M2,14,0
Day12,9,Mass_rearing_diet,B1,1,0
Day12,9,Mass_rearing_diet,B2,11,0
Day12,10,Mass_rearing_diet,M1,9,0
Day12,10,Mass_rearing_diet,M2,36,0
Day12,10,Mass_rearing_diet,B1,0,0
Day12,10,Mass_rearing_diet,B2,5,0
Day12,1,Manure,M1,33,0
Day12,1,Manure,M2,8,0
Day12,1,Manure,B1,5,0
Day12,1,Manure,B2,4,0
Day12,2,Manure,M1,31,0
Day12,2,Manure,M2,16,0
Day12,2,Manure,B1,3,0
Day12,2,Manure,B2,0,0
Day12,3,Manure,M1,18,0
Day12,3,Manure,M2,25,0
Day12,3,Manure,B1,2,0
Day12,3,Manure,B2,5,0
Day12,4,Manure,M1,39,0
Day12,4,Manure,M2,7,0
Day12,4,Manure,B1,2,0
Day12,4,Manure,B2,2,0
Day12,5,Manure,M1,24,0
Day12,5,Manure,M2,15,0
Day12,5,Manure,B1,9,0
Day12,5,Manure,B2,2,0
Day12,6,Manure,M1,27,0
Day12,6,Manure,M2,13,0
Day12,6,Manure,B1,6,0
Day12,6,Manure,B2,4,0
Day12,7,Manure,M1,13,0
Day12,7,Manure,M2,26,0
Day12,7,Manure,B1,8,0
Day12,7,Manure,B2,3,0
Day12,8,Manure,M1,37,1
Day12,8,Manure,M2,11,0
Day12,8,Manure,B1,0,0
Day12,8,Manure,B2,1,0
Day12,9,Manure,M1,18,0
Day12,9,Manure,M2,25,0
Day12,9,Manure,B1,6,0
Day12,9,Manure,B2,1,0
Day12,10,Manure,M1,7,1
Day12,10,Manure,M2,33,0
Day12,10,Manure,B1,3,0
Day12,10,Manure,B2,6,0
Day14,1,Mass_rearing_diet,M1,19,0
Day14,1,Mass_rearing_diet,M2,28,0
Day14,1,Mass_rearing_diet,B1,2,0
Day14,1,Mass_rearing_diet,B2,1,0
Day14,2,Mass_rearing_diet,M1,30,0
Day14,2,Mass_rearing_diet,M2,20,0
Day14,2,Mass_rearing_diet,B1,0,0
Day14,2,Mass_rearing_diet,B2,0,0
Day14,3,Mass_rearing_diet,M1,21,0
Day14,3,Mass_rearing_diet,M2,28,0
Day14,3,Mass_rearing_diet,B1,1,0
Day14,3,Mass_rearing_diet,B2,0,0
Day14,4,Mass_rearing_diet,M1,23,0
Day14,4,Mass_rearing_diet,M2,27,0
Day14,4,Mass_rearing_diet,B1,0,0
Day14,4,Mass_rearing_diet,B2,0,0
Day14,5,Mass_rearing_diet,M1,34,0
Day14,5,Mass_rearing_diet,M2,16,0
Day14,5,Mass_rearing_diet,B1,0,0
Day14,5,Mass_rearing_diet,B2,0,0
Day14,6,Mass_rearing_diet,M1,17,0
Day14,6,Mass_rearing_diet,M2,33,0
Day14,6,Mass_rearing_diet,B1,0,0
Day14,6,Mass_rearing_diet,B2,0,0
Day14,7,Mass_rearing_diet,M1,21,0
Day14,7,Mass_rearing_diet,M2,29,0
Day14,7,Mass_rearing_diet,B1,0,0
Day14,7,Mass_rearing_diet,B2,0,0
Day14,8,Mass_rearing_diet,M1,10,0
Day14,8,Mass_rearing_diet,M2,37,0
Day14,8,Mass_rearing_diet,B1,1,0
Day14,8,Mass_rearing_diet,B2,2,0
Day14,9,Mass_rearing_diet,M1,33,0
Day14,9,Mass_rearing_diet,M2,17,0
Day14,9,Mass_rearing_diet,B1,0,0
Day14,9,Mass_rearing_diet,B2,0,0
Day14,10,Mass_rearing_diet,M1,29,0
Day14,10,Mass_rearing_diet,M2,19,0
Day14,10,Mass_rearing_diet,B1,0,0
Day14,10,Mass_rearing_diet,B2,2,0
Day14,1,Manure,M1,23,0
Day14,1,Manure,M2,21,0
Day14,1,Manure,B1,4,0
Day14,1,Manure,B2,2,0
Day14,2,Manure,M1,15,10
Day14,2,Manure,M2,20,0
Day14,2,Manure,B1,5,0
Day14,2,Manure,B2,0,0
Day14,3,Manure,M1,31,7
Day14,3,Manure,M2,10,0
Day14,3,Manure,B1,2,0
Day14,3,Manure,B2,0,0
Day14,4,Manure,M1,23,2
Day14,4,Manure,M2,23,0
Day14,4,Manure,B1,2,0
Day14,4,Manure,B2,0,0
Day14,5,Manure,M1,17,10
Day14,5,Manure,M2,16,0
Day14,5,Manure,B1,1,0
Day14,5,Manure,B2,6,0
Day14,6,Manure,M1,30,5
Day14,6,Manure,M2,13,0
Day14,6,Manure,B1,2,0
Day14,6,Manure,B2,0,0
Day14,7,Manure,M1,18,1
Day14,7,Manure,M2,21,0
Day14,7,Manure,B1,3,0
Day14,7,Manure,B2,7,0
Day14,8,Manure,M1,10,2
Day14,8,Manure,M2,37,0
Day14,8,Manure,B1,1,0
Day14,8,Manure,B2,0,0
Day14,9,Manure,M1,14,2
Day14,9,Manure,M2,32,0
Day14,9,Manure,B1,2,0
Day14,9,Manure,B2,0,0
Day14,10,Manure,M1,16,0
Day14,10,Manure,M2,32,0
Day14,10,Manure,B1,1,0
Day14,10,Manure,B2,1,0
Day16,1,Mass_rearing_diet,M1,19,0
Day16,1,Mass_rearing_diet,M2,30,0
Day16,1,Mass_rearing_diet,B1,1,0
Day16,1,Mass_rearing_diet,B2,0,0
Day16,2,Mass_rearing_diet,M1,23,0
Day16,2,Mass_rearing_diet,M2,27,0
Day16,2,Mass_rearing_diet,B1,0,0
Day16,2,Mass_rearing_diet,B2,0,0
Day16,3,Mass_rearing_diet,M1,19,0
Day16,3,Mass_rearing_diet,M2,30,0
Day16,3,Mass_rearing_diet,B1,1,0
Day16,3,Mass_rearing_diet,B2,0,0
Day16,4,Mass_rearing_diet,M1,33,0
Day16,4,Mass_rearing_diet,M2,17,0
Day16,4,Mass_rearing_diet,B1,0,0
Day16,4,Mass_rearing_diet,B2,0,0
Day16,5,Mass_rearing_diet,M1,23,0
Day16,5,Mass_rearing_diet,M2,26,0
Day16,5,Mass_rearing_diet,B1,1,0
Day16,5,Mass_rearing_diet,B2,0,0
Day16,6,Mass_rearing_diet,M1,17,0
Day16,6,Mass_rearing_diet,M2,33,0
Day16,6,Mass_rearing_diet,B1,0,0
Day16,6,Mass_rearing_diet,B2,0,0
Day16,7,Mass_rearing_diet,M1,25,0
Day16,7,Mass_rearing_diet,M2,24,0
Day16,7,Mass_rearing_diet,B1,1,0
Day16,7,Mass_rearing_diet,B2,0,0
Day16,8,Mass_rearing_diet,M1,31,0
Day16,8,Mass_rearing_diet,M2,18,0
Day16,8,Mass_rearing_diet,B1,1,0
Day16,8,Mass_rearing_diet,B2,0,0
Day16,9,Mass_rearing_diet,M1,22,0
Day16,9,Mass_rearing_diet,M2,28,0
Day16,9,Mass_rearing_diet,B1,0,0
Day16,9,Mass_rearing_diet,B2,0,0
Day16,10,Mass_rearing_diet,M1,35,0
Day16,10,Mass_rearing_diet,M2,15,0
Day16,10,Mass_rearing_diet,B1,0,0
Day16,10,Mass_rearing_diet,B2,0,0
Day16,1,Manure,M1,29,1
Day16,1,Manure,M2,20,0
Day16,1,Manure,B1,0,0
Day16,1,Manure,B2,0,0
Day16,2,Manure,M1,15,0
Day16,2,Manure,M2,34,0
Day16,2,Manure,B1,0,0
Day16,2,Manure,B2,1,0
Day16,3,Manure,M1,32,0
Day16,3,Manure,M2,12,0
Day16,3,Manure,B1,2,0
Day16,3,Manure,B2,4,0
Day16,4,Manure,M1,21,0
Day16,4,Manure,M2,29,0
Day16,4,Manure,B1,0,0
Day16,4,Manure,B2,0,0
Day16,5,Manure,M1,24,0
Day16,5,Manure,M2,24,0
Day16,5,Manure,B1,1,0
Day16,5,Manure,B2,1,0
Day16,6,Manure,M1,38,0
Day16,6,Manure,M2,9,0
Day16,6,Manure,B1,3,0
Day16,6,Manure,B2,0,0
Day16,7,Manure,M1,17,0
Day16,7,Manure,M2,21,0
Day16,7,Manure,B1,11,0
Day16,7,Manure,B2,1,0
Day16,8,Manure,M1,24,0
Day16,8,Manure,M2,23,0
Day16,8,Manure,B1,3,0
Day16,8,Manure,B2,0,0
Day16,9,Manure,M1,26,0
Day16,9,Manure,M2,24,0
Day16,9,Manure,B1,0,0
Day16,9,Manure,B2,0,0
Day16,10,Manure,M1,17,0
Day16,10,Manure,M2,30,0
Day16,10,Manure,B1,1,0
Day16,10,Manure,B2,2,0
