station_european_code	component_code	component_name	component_caption	measurement_unit	measurement_european_group_code	statistics_period	statistics_year	statistics_average_group	statistic_shortname	statistic_name	statistic_value	statistics_percentage_valid	statistics_number_valid	statistics_calculated
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1990	hour	Max19	19th highest value	130.100	83.995	7358	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1990	hour	Hours(c > 200)	hours with c > 200 ug/m3	0.000	83.995	7358	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1997	day	Mean	annual mean	33.970	72.877	266	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1997	day	P50	50 percentile	34.479	72.877	266	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1997	day	P95	95 percentile	59.246	72.877	266	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1997	day	P98	98 percentile	68.163	72.877	266	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1997	day	Max	maximum	84.488	72.877	266	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1997	hour	P50	50 percentile	31.300	72.900	6386	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1997	hour	Mean	annual mean	33.905	72.900	6386	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1997	hour	P95	95 percentile	72.200	72.900	6386	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1997	hour	P98	98 percentile	84.900	72.900	6386	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1997	hour	Max	maximum	136.600	72.900	6386	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1997	hour	Max19	19th highest value	109.300	72.900	6386	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1997	hour	Hours(c > 200)	hours with c > 200 ug/m3	0.000	72.900	6386	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1998	day	P50	50 percentile	32.367	100.000	365	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1998	day	Mean	annual mean	34.004	100.000	365	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1998	day	P95	95 percentile	61.925	100.000	365	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1998	day	P98	98 percentile	73.025	100.000	365	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1998	day	Max	maximum	78.417	100.000	365	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1998	hour	P50	50 percentile	29.700	100.000	8760	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1998	hour	Mean	annual mean	34.004	100.000	8760	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1998	hour	P95	95 percentile	77.000	100.000	8760	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1998	hour	P98	98 percentile	89.700	100.000	8760	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1998	hour	Max	maximum	139.800	100.000	8760	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1998	hour	Max19	19th highest value	113.100	100.000	8760	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1998	hour	Hours(c > 200)	hours with c > 200 ug/m3	0.000	100.000	8760	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1999	day	P50	50 percentile	38.324	100.000	365	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1999	day	Mean	annual mean	40.065	100.000	365	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1999	day	P95	95 percentile	68.562	100.000	365	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1999	day	P98	98 percentile	75.562	100.000	365	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1999	day	Max	maximum	90.587	100.000	365	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1999	hour	P50	50 percentile	35.800	99.384	8706	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1999	hour	Mean	annual mean	40.107	99.384	8706	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1999	hour	P95	95 percentile	85.800	99.384	8706	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1999	hour	P98	98 percentile	97.300	99.384	8706	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1999	hour	Max	maximum	136.000	99.384	8706	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1999	hour	Max19	19th highest value	115.500	99.384	8706	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	1999	hour	Hours(c > 200)	hours with c > 200 ug/m3	0.000	99.384	8706	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2000	day	P50	50 percentile	34.446	98.634	361	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2000	day	Mean	annual mean	35.136	98.634	361	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2000	day	P95	95 percentile	58.654	98.634	361	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2000	day	P98	98 percentile	66.279	98.634	361	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2000	day	Max	maximum	87.771	98.634	361	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2000	hour	P50	50 percentile	30.900	98.554	8657	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2000	hour	Mean	annual mean	35.102	98.554	8657	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2000	hour	P95	95 percentile	76.000	98.554	8657	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2000	hour	P98	98 percentile	86.800	98.554	8657	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2000	hour	Max	maximum	134.900	98.554	8657	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2000	hour	Max19	19th highest value	108.000	98.554	8657	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2000	hour	Hours(c > 200)	hours with c > 200 ug/m3	0.000	98.554	8657	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2001	day	P50	50 percentile	33.588	99.726	364	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2001	day	Mean	annual mean	34.664	99.726	364	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2001	day	P95	95 percentile	58.446	99.726	364	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2001	day	P98	98 percentile	65.754	99.726	364	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2001	day	Max	maximum	81.557	99.726	364	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2001	hour	P50	50 percentile	30.600	99.406	8708	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2001	hour	Mean	annual mean	34.660	99.406	8708	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2001	hour	P95	95 percentile	76.700	99.406	8708	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2001	hour	P98	98 percentile	86.400	99.406	8708	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2001	hour	Max	maximum	165.000	99.406	8708	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2001	hour	Max19	19th highest value	110.700	99.406	8708	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2001	hour	Hours(c > 200)	hours with c > 200 ug/m3	0.000	99.406	8708	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2002	day	P50	50 percentile	32.133	96.986	354	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2002	day	Mean	annual mean	32.941	96.986	354	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2002	day	P95	95 percentile	57.792	96.986	354	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2002	day	P98	98 percentile	63.158	96.986	354	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2002	day	Max	maximum	78.513	96.986	354	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2002	hour	P50	50 percentile	28.900	96.769	8477	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2002	hour	Mean	annual mean	32.988	96.769	8477	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2002	hour	P95	95 percentile	73.300	96.769	8477	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2002	hour	P98	98 percentile	84.500	96.769	8477	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2002	hour	Max	maximum	127.500	96.769	8477	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2002	hour	Max19	19th highest value	110.100	96.769	8477	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2002	hour	Hours(c > 200)	hours with c > 200 ug/m3	0.000	96.769	8477	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2003	day	Mean	annual mean	35.420	96.438	352	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2003	day	P50	50 percentile	35.425	96.438	352	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2003	day	P95	95 percentile	59.033	96.438	352	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2003	day	P98	98 percentile	65.748	96.438	352	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2003	day	Max	maximum	107.496	96.438	352	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2003	hour	P50	50 percentile	31.700	96.393	8444	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2003	hour	Mean	annual mean	35.389	96.393	8444	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2003	hour	P95	95 percentile	76.100	96.393	8444	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2003	hour	P98	98 percentile	87.100	96.393	8444	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2003	hour	Max	maximum	216.000	96.393	8444	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2003	hour	Max19	19th highest value	122.300	96.393	8444	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2003	hour	Hours(c > 200)	hours with c > 200 ug/m3	1.000	96.393	8444	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2004	day	P50	50 percentile	33.246	94.536	346	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2004	day	Mean	annual mean	34.647	94.536	346	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2004	day	P95	95 percentile	61.983	94.536	346	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2004	day	P98	98 percentile	69.413	94.536	346	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2004	day	Max	maximum	80.412	94.536	346	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2004	hour	P50	50 percentile	29.900	94.592	8309	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2004	hour	Mean	annual mean	34.731	94.592	8309	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2004	hour	P95	95 percentile	78.200	94.592	8309	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2004	hour	P98	98 percentile	90.000	94.592	8309	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2004	hour	Max	maximum	162.400	94.592	8309	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2004	hour	Max19	19th highest value	116.300	94.592	8309	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2004	hour	Hours(c > 200)	hours with c > 200 ug/m3	0.000	94.592	8309	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2005	day	Mean	annual mean	39.723	99.178	362	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2005	day	P50	50 percentile	40.129	99.178	362	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2005	day	P95	95 percentile	68.496	99.178	362	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2005	day	P98	98 percentile	78.896	99.178	362	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2005	day	Max	maximum	90.521	99.178	362	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2005	hour	P50	50 percentile	33.800	99.258	8695	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2005	hour	Mean	annual mean	39.718	99.258	8695	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2005	hour	P95	95 percentile	89.300	99.258	8695	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2005	hour	P98	98 percentile	101.800	99.258	8695	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2005	hour	Max	maximum	154.300	99.258	8695	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2005	hour	Max19	19th highest value	126.800	99.258	8695	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2005	hour	Hours(c > 200)	hours with c > 200 ug/m3	0.000	99.258	8695	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2006	day	P50	50 percentile	41.487	99.178	362	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2006	day	Mean	annual mean	42.686	99.178	362	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2006	day	P95	95 percentile	72.608	99.178	362	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2006	day	P98	98 percentile	86.554	99.178	362	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2006	day	Max	maximum	97.150	99.178	362	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2006	hour	P50	50 percentile	37.300	99.258	8695	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2006	hour	Mean	annual mean	42.641	99.258	8695	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2006	hour	P95	95 percentile	95.300	99.258	8695	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2006	hour	P98	98 percentile	110.700	99.258	8695	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2006	hour	Max	maximum	169.500	99.258	8695	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2006	hour	Max19	19th highest value	139.500	99.258	8695	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2006	hour	Hours(c > 200)	hours with c > 200 ug/m3	0.000	99.258	8695	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2007	day	P50	50 percentile	31.950	98.630	360	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2007	day	Mean	annual mean	34.068	98.630	360	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2007	day	P95	95 percentile	66.338	98.630	360	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2007	day	P98	98 percentile	75.208	98.630	360	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2007	day	Max	maximum	94.596	98.630	360	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2007	hour	P50	50 percentile	28.100	99.030	8675	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2007	hour	Mean	annual mean	34.087	99.030	8675	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2007	hour	P95	95 percentile	83.300	99.030	8675	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2007	hour	P98	98 percentile	97.900	99.030	8675	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2007	hour	Max	maximum	149.600	99.030	8675	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2007	hour	Max19	19th highest value	125.800	99.030	8675	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2007	hour	Hours(c > 200)	hours with c > 200 ug/m3	0.000	99.030	8675	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2008	day	P50	50 percentile	39.417	86.612	317	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2008	day	Mean	annual mean	39.633	86.612	317	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2008	day	P95	95 percentile	71.800	86.612	317	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2008	day	P98	98 percentile	75.875	86.612	317	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2008	day	Max	maximum	97.483	86.612	317	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2008	hour	P50	50 percentile	33.600	87.079	7649	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2008	hour	Mean	annual mean	39.503	87.079	7649	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2008	hour	P95	95 percentile	92.100	87.079	7649	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2008	hour	P98	98 percentile	106.800	87.079	7649	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2008	hour	Max	maximum	214.800	87.079	7649	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2008	hour	Max19	19th highest value	138.200	87.079	7649	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2008	hour	Hours(c > 200)	hours with c > 200 ug/m3	1.000	87.079	7649	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2009	day	P50	50 percentile	39.093	99.452	363	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2009	day	Mean	annual mean	41.113	99.452	363	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2009	day	P95	95 percentile	74.385	99.452	363	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2009	day	P98	98 percentile	82.081	99.452	363	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2009	day	Max	maximum	88.282	99.452	363	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2009	hour	P50	50 percentile	34.357	94.589	8286	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2009	hour	Mean	annual mean	41.114	94.589	8286	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2009	hour	P95	95 percentile	97.834	94.589	8286	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2009	hour	P98	98 percentile	114.323	94.589	8286	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2009	hour	Max	maximum	180.630	94.589	8286	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2009	hour	Max19	19th highest value	140.617	94.589	8286	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2009	hour	Hours(c > 200)	hours with c > 200 ug/m3	0.000	94.589	8286	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2010	day	P50	50 percentile	36.002	95.068	347	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2010	day	Mean	annual mean	38.583	95.068	347	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2010	day	P95	95 percentile	71.079	95.068	347	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2010	day	P98	98 percentile	78.093	95.068	347	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2010	day	Max	maximum	98.778	95.068	347	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2010	hour	P50	50 percentile	30.224	90.811	7955	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2010	hour	Mean	annual mean	38.478	90.811	7955	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2010	hour	P95	95 percentile	96.092	90.811	7955	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2010	hour	P98	98 percentile	115.684	90.811	7955	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2010	hour	Max	maximum	199.129	90.811	7955	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2010	hour	Max19	19th highest value	147.363	90.811	7955	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2010	hour	Hours(c > 200)	hours with c > 200 ug/m3	0.000	90.811	7955	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2011	day	P50	50 percentile	29.597	95.616	349	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2011	day	Mean	annual mean	30.604	95.616	349	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2011	day	P95	95 percentile	55.386	95.616	349	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2011	day	P98	98 percentile	61.163	95.616	349	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2011	day	Max	maximum	71.104	95.616	349	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2011	hour	P50	50 percentile	25.157	90.913	7964	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2011	hour	Mean	annual mean	30.625	90.913	7964	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2011	hour	P95	95 percentile	72.028	90.913	7964	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2011	hour	P98	98 percentile	84.502	90.913	7964	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2011	hour	Max	maximum	149.562	90.913	7964	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2011	hour	Max19	19th highest value	110.632	90.913	7964	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	110	Calendar year	2011	hour	Hours(c > 200)	hours with c > 200 ug/m3	0.000	90.913	7964	Y
