field,plot,trt,yr1,yr,yield,height
Young,1,Control,2005,1,2.32,1.75
Young,2,ManureL,2005,1,3.88,2
Young,3,Urea,2005,1,1.88,1.58
Young,4,ManureH,2005,1,3.63,1.89
Young,5,ManureL,2005,1,4.76,2.04
Young,6,SludgeManure,2005,1,3.07,1.87
Young,7,ManureH,2005,1,8.97,1.94
Young,8,Sludge,2005,1,3.51,1.77
Young,9,SludgeManure,2005,1,5.68,2.19
Young,10,Sludge,2005,1,3.17,1.85
Young,11,Control,2005,1,4.19,2.08
Young,12,Sludge,2005,1,4.51,2.13
Young,13,Urea,2005,1,4.59,2.05
Young,14,ManureH,2005,1,3.28,1.84
Young,15,Sludge,2005,1,3.6,1.95
Young,16,Urea,2005,1,4.45,1.92
Young,17,Control,2005,1,3.87,1.88
Young,18,Urea,2005,1,6.1,1.96
Young,19,ManureL,2005,1,2.59,1.59
Young,20,SludgeManure,2005,1,3.74,2.03
Young,21,ManureH,2005,1,2.99,1.77
Young,22,ManureL,2005,1,2.11,1.63
Young,23,Control,2005,1,2.59,1.69
Young,24,SludgeManure,2005,1,1.68,1.53
Young,1,Control,2006,2,16.94,3.91
Young,2,ManureL,2006,2,20.52,4.16
Young,3,Urea,2006,2,13.21,3.56
Young,4,ManureH,2006,2,22.51,4
Young,5,ManureL,2006,2,19.84,4.2
Young,6,SludgeManure,2006,2,14.73,3.74
Young,7,ManureH,2006,2,20.36,3.68
Young,8,Sludge,2006,2,14.46,3.37
Young,9,SludgeManure,2006,2,19.83,4.02
Young,10,Sludge,2006,2,10.04,3.29
Young,11,Control,2006,2,17.44,3.78
Young,12,Sludge,2006,2,16.04,3.98
Young,13,Urea,2006,2,20.48,4.32
Young,14,ManureH,2006,2,15.72,3.87
Young,15,Sludge,2006,2,12.35,3.47
Young,16,Urea,2006,2,23.77,4.06
Young,17,Control,2006,2,19.97,3.77
Young,18,Urea,2006,2,21.3,4.07
Young,19,ManureL,2006,2,13.3,3.43
Young,20,SludgeManure,2006,2,20.97,4.1
Young,21,ManureH,2006,2,20.38,4.01
Young,22,ManureL,2006,2,12.75,3.6
Young,23,Control,2006,2,14.73,3.45
Young,24,SludgeManure,2006,2,11.55,3.55
Young,1,Control,2007,3,31.64,5.01
Young,2,ManureL,2007,3,37.65,5.19
Young,3,Urea,2007,3,27.85,4.52
Young,4,ManureH,2007,3,37.83,4.87
Young,5,ManureL,2007,3,30.98,5.12
Young,6,SludgeManure,2007,3,29.53,4.52
Young,7,ManureH,2007,3,33.26,4.37
Young,8,Sludge,2007,3,33.52,3.92
Young,9,SludgeManure,2007,3,32.47,4.83
Young,10,Sludge,2007,3,21.48,4.25
Young,11,Control,2007,3,30.88,4.68
Young,12,Sludge,2007,3,25.98,4.85
Young,13,Urea,2007,3,28.17,5.33
Young,14,ManureH,2007,3,27.58,4.84
Young,15,Sludge,2007,3,26.9,4.31
Young,16,Urea,2007,3,34.53,4.85
Young,17,Control,2007,3,26.59,4.79
Young,18,Urea,2007,3,31.1,4.62
Young,19,ManureL,2007,3,20.63,5.26
Young,20,SludgeManure,2007,3,29.91,5.87
Young,21,ManureH,2007,3,27.96,5.79
Young,22,ManureL,2007,3,25.3,5.42
Young,23,Control,2007,3,24.29,4.92
Young,24,SludgeManure,2007,3,19.05,4.93
Old,1,Sludge,2004,0,15.85,3.43
Old,2,Sludge,2004,0,14.88,3.21
Old,3,ManureL,2004,0,12.98,2.94
Old,4,ManureL,2004,0,16.81,3.3
Old,5,SludgeManure,2004,0,16.21,3.21
Old,6,Control,2004,0,15.79,3.16
Old,7,Sludge,2004,0,22.42,3.62
Old,8,ManureH,2004,0,20.85,3.4
Old,9,Urea,2004,0,14.85,3.08
Old,10,Sludge,2004,0,18.34,3.32
Old,11,Urea,2004,0,12.73,3.08
Old,12,SludgeManure,2004,0,14.19,3.18
Old,13,ManureH,2004,0,17.38,3.49
Old,14,SludgeManure,2004,0,16.12,3.31
Old,15,Control,2004,0,16.81,3.47
Old,16,ManureL,2004,0,19.37,3.59
Old,17,Urea,2004,0,17.11,3.49
Old,18,ManureL,2004,0,17.37,3.49
Old,19,ManureH,2004,0,16.86,3.57
Old,20,SludgeManure,2004,0,16.95,3.33
Old,21,ManureH,2004,0,15.61,3.35
Old,22,Control,2004,0,20.21,3.39
Old,23,Urea,2004,0,15.3,3.19
Old,24,Control,2004,0,16.2,3.26
Old,1,Sludge,2005,1,26.77,4.66
Old,2,Sludge,2005,1,25.92,4.39
Old,3,ManureL,2005,1,25.5,4.31
Old,4,ManureL,2005,1,24.53,4.44
Old,5,SludgeManure,2005,1,26.37,4.55
Old,6,Control,2005,1,21.67,4.46
Old,7,Sludge,2005,1,28.31,4.77
Old,8,ManureH,2005,1,27.57,4.71
Old,9,Urea,2005,1,27.81,4.51
Old,10,Sludge,2005,1,30.05,4.64
Old,11,Urea,2005,1,27.59,4.74
Old,12,SludgeManure,2005,1,24.77,4.46
Old,13,ManureH,2005,1,26.05,4.9
Old,14,SludgeManure,2005,1,23,4.59
Old,15,Control,2005,1,25.91,4.77
Old,16,ManureL,2005,1,29.66,5.07
Old,17,Urea,2005,1,32.8,4.94
Old,18,ManureL,2005,1,30.53,4.75
Old,19,ManureH,2005,1,32.33,5
Old,20,SludgeManure,2005,1,29.9,4.66
Old,21,ManureH,2005,1,30.72,4.82
Old,22,Control,2005,1,30.59,4.96
Old,23,Urea,2005,1,23.46,4.7
Old,24,Control,2005,1,26.86,4.62
Old,1,Sludge,2006,2,31.3,5.65
Old,2,Sludge,2006,2,35.55,5.63
Old,3,ManureL,2006,2,29.08,5.56
Old,4,ManureL,2006,2,38.29,5.75
Old,5,SludgeManure,2006,2,30.93,5.79
Old,6,Control,2006,2,31.02,5.67
Old,7,Sludge,2006,2,40.86,5.97
Old,8,ManureH,2006,2,38.37,6.11
Old,9,Urea,2006,2,31.97,6.02
Old,10,Sludge,2006,2,35.54,5.9
Old,11,Urea,2006,2,31.23,6.04
Old,12,SludgeManure,2006,2,30.06,5.8
Old,13,ManureH,2006,2,35.45,6.3
Old,14,SludgeManure,2006,2,34.18,6.1
Old,15,Control,2006,2,34.31,6.24
Old,16,ManureL,2006,2,38.68,6.68
Old,17,Urea,2006,2,33.8,6.54
Old,18,ManureL,2006,2,37.52,6.07
Old,19,ManureH,2006,2,39.32,6.75
Old,20,SludgeManure,2006,2,33.87,6.12
Old,21,ManureH,2006,2,32.12,6.38
Old,22,Control,2006,2,37.74,6.6
Old,23,Urea,2006,2,36.56,6.31
Old,24,Control,2006,2,35.46,5.93
